

[2017-07-14 13:16:03] Startup - updater built May 30 2017 09:31:34
[2017-07-14 13:16:03] Checking for update on startup
[2017-07-14 13:16:03] Checking for available update...
[2017-07-14 13:16:07] Download failed: http error 0 (client-download.steampowered.com/client/steam_cmd_win32)
[2017-07-14 13:16:08] Package file steamcmd_public_all.zip.vz.de8d7213646e832cff171b60db1f449e4747a8b0_23496 missing or incorrect size
[2017-07-14 13:16:08] Package file steamcmd_bins_win32.zip.vz.b8c768c533f2b98e95e402e32d86cfbd67ede72a_4255937 missing or incorrect size
[2017-07-14 13:16:08] Package file steamcmd_steamservice_win32.zip.vz.3bba888f12f2f034aeb70f43056267ecaad14637_995358 missing or incorrect size
[2017-07-14 13:16:08] Package file steamcmd_steamerrorreporter_win32.zip.2c7325ac866c466936bd622bc302368e0bf7b8ad missing or incorrect size
[2017-07-14 13:16:08] Package file steamcmd_win32.zip.vz.72b72cb19b822bbf788aac327d6ef38844221d34_1016003 missing or incorrect size
[2017-07-14 13:16:08] Downloading update (0 of 6,284 KB)...
[2017-07-14 13:16:08] Error: Download of package (steamcmd_steamservice_win32) failed after 0 bytes (0).
[2017-07-14 13:16:08] Error: Download of package (steamcmd_bins_win32) failed after 0 bytes (0).
[2017-07-14 13:16:08] Error: Download of package (steamcmd_win32) failed after 0 bytes (0).
[2017-07-14 13:16:08] Error: Download of package (steamcmd_steamerrorreporter_win32) failed after 0 bytes (0).
[2017-07-14 13:16:09] Error: Download of package (steamcmd_public_all) failed after 0 bytes (0).
[2017-07-14 13:16:09] Package file steamcmd_public_all.zip.vz.de8d7213646e832cff171b60db1f449e4747a8b0_23496 missing or incorrect size
[2017-07-14 13:16:09] Package file steamcmd_bins_win32.zip.vz.b8c768c533f2b98e95e402e32d86cfbd67ede72a_4255937 missing or incorrect size
[2017-07-14 13:16:09] Package file steamcmd_steamservice_win32.zip.vz.3bba888f12f2f034aeb70f43056267ecaad14637_995358 missing or incorrect size
[2017-07-14 13:16:09] Package file steamcmd_steamerrorreporter_win32.zip.2c7325ac866c466936bd622bc302368e0bf7b8ad missing or incorrect size
[2017-07-14 13:16:09] Package file steamcmd_win32.zip.vz.72b72cb19b822bbf788aac327d6ef38844221d34_1016003 missing or incorrect size
[2017-07-14 13:16:09] Downloading update (22 of 6,284 KB)...
[2017-07-14 13:16:09] Downloading update (47 of 6,284 KB)...
[2017-07-14 13:16:10] Downloading update (148 of 6,284 KB)...
[2017-07-14 13:16:10] Downloading update (234 of 6,284 KB)...
[2017-07-14 13:16:10] Downloading update (330 of 6,284 KB)...
[2017-07-14 13:16:10] Downloading update (444 of 6,284 KB)...
[2017-07-14 13:16:11] Downloading update (548 of 6,284 KB)...
[2017-07-14 13:16:11] Downloading update (580 of 6,284 KB)...
[2017-07-14 13:16:11] Downloading update (745 of 6,284 KB)...
[2017-07-14 13:16:11] Downloading update (824 of 6,284 KB)...
[2017-07-14 13:16:12] Downloading update (853 of 6,284 KB)...
[2017-07-14 13:16:12] Downloading update (958 of 6,284 KB)...
[2017-07-14 13:16:12] Downloading update (959 of 6,284 KB)...
[2017-07-14 13:16:13] Downloading update (998 of 6,284 KB)...
[2017-07-14 13:16:13] Downloading update (1,065 of 6,284 KB)...
[2017-07-14 13:16:13] Downloading update (1,089 of 6,284 KB)...
[2017-07-14 13:16:13] Downloading update (1,188 of 6,284 KB)...
[2017-07-14 13:16:14] Downloading update (1,245 of 6,284 KB)...
[2017-07-14 13:16:14] Downloading update (1,273 of 6,284 KB)...
[2017-07-14 13:16:14] Downloading update (1,483 of 6,284 KB)...
[2017-07-14 13:16:14] Downloading update (1,505 of 6,284 KB)...
[2017-07-14 13:16:15] Downloading update (1,642 of 6,284 KB)...
[2017-07-14 13:16:15] Downloading update (1,646 of 6,284 KB)...
[2017-07-14 13:16:15] Downloading update (1,790 of 6,284 KB)...
[2017-07-14 13:16:15] Downloading update (1,812 of 6,284 KB)...
[2017-07-14 13:16:16] Downloading update (1,855 of 6,284 KB)...
[2017-07-14 13:16:16] Downloading update (1,884 of 6,284 KB)...
[2017-07-14 13:16:16] Downloading update (2,058 of 6,284 KB)...
[2017-07-14 13:16:17] Downloading update (2,061 of 6,284 KB)...
[2017-07-14 13:16:17] Downloading update (2,104 of 6,284 KB)...
[2017-07-14 13:16:17] Downloading update (2,123 of 6,284 KB)...
[2017-07-14 13:16:17] Downloading update (2,225 of 6,284 KB)...
[2017-07-14 13:16:18] Downloading update (2,276 of 6,284 KB)...
[2017-07-14 13:16:18] Downloading update (2,311 of 6,284 KB)...
[2017-07-14 13:16:18] Downloading update (2,387 of 6,284 KB)...
[2017-07-14 13:16:18] Downloading update (2,421 of 6,284 KB)...
[2017-07-14 13:16:19] Downloading update (2,431 of 6,284 KB)...
[2017-07-14 13:16:19] Downloading update (2,439 of 6,284 KB)...
[2017-07-14 13:16:19] Downloading update (2,441 of 6,284 KB)...
[2017-07-14 13:16:20] Downloading update (2,672 of 6,284 KB)...
[2017-07-14 13:16:20] Downloading update (2,688 of 6,284 KB)...
[2017-07-14 13:16:20] Downloading update (2,804 of 6,284 KB)...
[2017-07-14 13:16:20] Downloading update (2,831 of 6,284 KB)...
[2017-07-14 13:16:21] Downloading update (2,904 of 6,284 KB)...
[2017-07-14 13:16:21] Downloading update (3,072 of 6,284 KB)...
[2017-07-14 13:16:22] Downloading update (3,077 of 6,284 KB)...
[2017-07-14 13:16:23] Downloading update (3,141 of 6,284 KB)...
[2017-07-14 13:16:23] Downloading update (3,169 of 6,284 KB)...
[2017-07-14 13:16:23] Downloading update (3,180 of 6,284 KB)...
[2017-07-14 13:16:23] Downloading update (3,182 of 6,284 KB)...
[2017-07-14 13:16:24] Downloading update (3,233 of 6,284 KB)...
[2017-07-14 13:16:24] Downloading update (3,447 of 6,284 KB)...
[2017-07-14 13:16:24] Downloading update (3,484 of 6,284 KB)...
[2017-07-14 13:16:24] Downloading update (3,486 of 6,284 KB)...
[2017-07-14 13:16:25] Downloading update (3,497 of 6,284 KB)...
[2017-07-14 13:16:25] Downloading update (3,536 of 6,284 KB)...
[2017-07-14 13:16:26] Downloading update (3,545 of 6,284 KB)...
[2017-07-14 13:16:26] Downloading update (3,578 of 6,284 KB)...
[2017-07-14 13:16:26] Downloading update (3,609 of 6,284 KB)...
